trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9985097902679935}",25,0,-128.05987933720502,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9984380018091886}",25,0,-38.30904138481873,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9983645259903983}",30,0,-135.86581816030994,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9982893629357967}",20,0,-31.99361473713741,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9982125127724094}",20,0,-42.59275571270579,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9981339756301131}",25,0,-248.56666505322514,"{0: 8, 1: 5, 2: 7, 3: 2, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.9980537516416355}",25,0,-259.6402998257936,"{0: 11, 1: 2, 2: 6, 3: 2, 4: 4}",0
49,False,"{'a': 0.5, 'e': 0.9979718409425551}",25,7,-60.601881188267036,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.9978882436713011}",30,0,-131.46309235669685,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9978029599691528}",20,0,-81.37695589354365,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9977159899802397}",25,0,-128.897523776624,"{0: 11, 1: 6, 2: 5, 3: 3, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9976273338515409}",25,0,-54.167160864963336,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9975369917328853}",25,12,-24.140765345737474,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.9974449637769512}",25,8,-58.507137222149964,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.9973512501392657}",30,0,-15.764329898938687,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9972558509782049}",20,0,-50.89328543648565,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9971587664549932}",20,0,-35.67642351068273,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9970599967337036}",20,0,-69.54191553860582,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.9969595419812568}",30,0,-105.42078742520339,"{0: 20, 1: 6, 2: 2, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.9968574023674213}",20,0,-10.184538578985098,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.996753578064813}",20,0,-20.528653821915498,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9966480692488952}",30,4,-64.44075603028756,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.9965408760979774}",20,0,-92.95927675152076,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9964319987932163}",25,5,-122.88037648432777,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",1
66,False,"{'a': 0.5, 'e': 0.9963214375186144}",25,0,-78.31433675538051,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9962091924610201}",30,0,-88.45164361115063,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9960952638101277}",20,0,-146.68856312315646,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.9959796517584766}",25,0,-47.59128386925116,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9958623565014509}",20,0,-213.7454467688947,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
71,False,"{'a': 0.5, 'e': 0.99574337823728}",20,9,-66.28323029663987,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.9956227171670368}",25,0,-75.70324272117516,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.9955003734946384}",25,0,-76.16948644404253,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9953763474268459}",20,0,-115.13355232933661,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.9952506391732631}",25,0,-112.05915522146582,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9951232489463369}",20,8,-36.30755222155681,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.994994176961357}",20,0,-107.77363068696833,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.9948634234364546}",25,0,-183.16741930207422,"{0: 12, 1: 6, 2: 1, 3: 4, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9947309885926036}",25,0,-90.56979309959218,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.9945968726536185}",30,4,-76.40161068315226,"{0: 16, 1: 4, 2: 4, 3: 2, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.9944610758461554}",20,0,-62.674386969130964,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.9943235983997109}",20,0,-54.19609397799641,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.9941844405466216}",20,0,-41.03915917238415,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.9940436025220645}",25,0,-49.634464185170785,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
