trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9998767575315342}",20,0,-100.04285353760459,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9995070605035489}",25,0,-156.11157274764565,"{0: 11, 1: 9, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9988910000407927}",30,0,-214.70004865427902,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9980287279928899}",25,0,-39.78507476857391,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9969204568969118}",25,2,-92.33439401337029,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9955664599249897}",20,0,-81.73087990730718,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9939670708169818}",20,0,-212.0757279743598,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9921226837982114}",30,0,-167.5359296151698,"{0: 19, 1: 6, 2: 1, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9900337534822967}",25,0,-240.62766706980142,"{0: 14, 1: 2, 2: 2, 3: 3, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9877007947590948}",20,10,-78.80660972664857,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.9851243826677893}",25,0,-68.57379436000676,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9823051522551522}",20,0,-70.31091172012064,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.979243798419014}",30,0,-95.0214032569527,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9759410757369817}",25,0,-81.82674099032808,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9723977982804476}",25,0,-50.92575359890393,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9686148394139318}",20,9,-25.085798288650203,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9645931315798121}",25,0,-234.06907628488662,"{0: 11, 1: 2, 2: 6, 3: 3, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9603336660684902}",20,0,-116.37303277597178,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9558374927740543}",20,0,-99.3199842762026,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.951105719935495}",25,0,-91.94925602048198,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9461395138635421}",30,0,-171.48816617651937,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.9409400986531861}",30,0,-115.18403063533711,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9355087558819571}",25,0,-176.2855001269756,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9298468242940358}",20,0,-103.16337190557745,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9239556994702721}",20,0,-151.581341837658,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
