trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1089,False,"{'a': 0.5, 'e': 0.4174282170370859}",30,15,-22.82111834721408,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
1090,False,"{'a': 0.5, 'e': 0.41647656915062053}",20,9,17.403016936660997,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1091,False,"{'a': 0.5, 'e': 0.41552446471883353}",25,10,9.116646080005768,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
1092,False,"{'a': 0.5, 'e': 0.4145719047854302}",30,0,-22.10631387048311,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
1093,False,"{'a': 0.5, 'e': 0.4136188903946152}",30,0,16.592644231345343,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
1094,False,"{'a': 0.5, 'e': 0.4126654225910914}",20,8,-31.8475568251111,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1095,False,"{'a': 0.5, 'e': 0.4117115024200587}",25,1,-74.16380099493009,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 2}",1
1096,False,"{'a': 0.5, 'e': 0.41075713092721305}",30,0,-63.37061001298172,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
1097,False,"{'a': 0.5, 'e': 0.4098023091587446}",25,12,15.725883360492073,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1098,False,"{'a': 0.5, 'e': 0.4088470381613377}",20,0,2.0951585229940477,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
1099,False,"{'a': 0.5, 'e': 0.40789131898216885}",20,0,-25.57015461807758,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
1100,False,"{'a': 0.5, 'e': 0.40693515266890595}",25,14,17.89399557606455,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1101,False,"{'a': 0.5, 'e': 0.4059785402697071}",20,15,9.216044583935767,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1102,False,"{'a': 0.5, 'e': 0.40502148283321915}",20,2,-47.603786199818565,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
1103,False,"{'a': 0.5, 'e': 0.40406398140857713}",35,0,-3.581636430498053,"{0: 31, 1: 0, 2: 3, 3: 1, 4: 0}",0
1104,False,"{'a': 0.5, 'e': 0.4031060370454026}",25,13,-16.912780215137918,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
1105,False,"{'a': 0.5, 'e': 0.40214765079380266}",25,3,-1.490176757304182,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
1106,False,"{'a': 0.5, 'e': 0.40118882370436887}",20,15,8.309007822460648,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1107,False,"{'a': 0.5, 'e': 0.4002295568281762}",20,8,-24.600321954140973,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
1108,False,"{'a': 0.5, 'e': 0.3992698512167811}",20,8,12.393829989971294,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1109,False,"{'a': 0.5, 'e': 0.3983097079222217}",25,5,36.0942270406582,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1110,False,"{'a': 0.5, 'e': 0.3973491279970156}",30,21,9.51030864395534,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1111,False,"{'a': 0.5, 'e': 0.396388112494159}",20,9,0.14500839632431672,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
1112,False,"{'a': 0.5, 'e': 0.39542666246712566}",20,0,-67.8856293801601,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",1
1113,False,"{'a': 0.5, 'e': 0.39446477896986576}",25,13,7.2987410221973885,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1114,False,"{'a': 0.5, 'e': 0.3935024630568044}",30,18,3.7748153460172365,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
1115,False,"{'a': 0.5, 'e': 0.39253971578284097}",20,9,6.342010801120045,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
1116,False,"{'a': 0.5, 'e': 0.3915765382033475}",30,17,-20.05311574380445,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
1117,False,"{'a': 0.5, 'e': 0.3906129313741679}",25,17,13.863196565635347,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1118,False,"{'a': 0.5, 'e': 0.3896488963516167}",20,10,-38.59741667335094,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
1119,False,"{'a': 0.5, 'e': 0.38868443419247733}",25,8,3.2064185364928783,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
1120,False,"{'a': 0.5, 'e': 0.387719545954002}",25,3,-16.23423490321786,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
1121,False,"{'a': 0.5, 'e': 0.3867542326939097}",25,2,-38.18336663628215,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
1122,False,"{'a': 0.5, 'e': 0.38578849547038546}",25,0,-23.14265251850687,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
1123,False,"{'a': 0.5, 'e': 0.384822335342079}",20,0,-82.86007706224304,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
1124,False,"{'a': 0.5, 'e': 0.38385575336810374}",20,0,-74.73786773105428,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
1125,False,"{'a': 0.5, 'e': 0.3828887506080353}",20,9,3.994593201485177,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
1126,False,"{'a': 0.5, 'e': 0.3819213281219108}",25,11,14.37317486318332,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1127,False,"{'a': 0.5, 'e': 0.3809534869702274}",20,13,-52.13875333642832,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
1128,False,"{'a': 0.5, 'e': 0.37998522821394115}",20,0,-23.243919159978056,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
1129,False,"{'a': 0.5, 'e': 0.3790165529144661}",20,7,-18.506912997125305,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
1130,False,"{'a': 0.5, 'e': 0.37804746213367235}",25,10,-8.145591561885682,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
1131,False,"{'a': 0.5, 'e': 0.37707795693388607}",20,5,0.4779765759379082,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
